Gene	logFC	logCPM	F	PValue	FDR	logCPM_primed	logCPM_naive
DNMT3L	22.21702033	10.51745325	378.861818	2.40E-12	2.21E-08	-0.591056915	21.62596342
KHDC1L	14.48652094	7.15630466	313.6845434	3.39E-12	2.21E-08	-0.08695581	14.39956513
FAM151A	14.12699492	8.014668674	312.4329336	3.49E-12	2.21E-08	0.951171214	15.07816613
HORMAD1	15.03226194	6.600464566	311.6817506	3.56E-12	2.21E-08	-0.915666402	14.11659553
ALPPL2	20.17154242	8.485774311	351.9866647	4.16E-12	2.21E-08	-1.599996897	18.57154552
ZNF729	14.07478748	7.220945847	303.3886498	4.40E-12	2.21E-08	0.183552106	14.25833959
D21S2088E	-13.13182102	7.171853599	295.981439	5.35E-12	2.21E-08	13.73776411	0.605943091
KHDC3L	19.57829573	7.866748676	337.7156089	5.66E-12	2.21E-08	-1.92239919	17.65589654
TRIM60	18.53065308	6.87765481	317.0901047	9.05E-12	2.95E-08	-2.387671729	16.14298135
SFRP2	-12.09493315	7.255681	275.2327111	9.47E-12	2.95E-08	13.30314757	1.208214426
DPPA5	18.29784542	9.895235999	298.6130118	1.91E-11	5.43E-08	0.746313287	19.04415871
MEG8	17.57300017	5.898868701	277.708699	2.42E-11	6.29E-08	-2.887631385	14.68536879
OLAH	10.80200279	6.419646735	238.7723917	2.87E-11	6.49E-08	1.018645338	11.82064813
AC003973.3	14.60098063	5.285280583	237.4747662	3.00E-11	6.49E-08	-2.01520973	12.5857709
LINC00458	-10.46138127	7.913011215	233.493817	3.42E-11	6.49E-08	13.14370185	2.68232058
DPPA3	10.34895756	7.561508517	232.5417539	3.53E-11	6.49E-08	2.387029739	12.7359873
LYZ	17.31172784	5.630687493	263.7895244	3.54E-11	6.49E-08	-3.025176426	14.28655141
CD53	11.2640641	6.267807251	229.4190418	3.92E-11	6.79E-08	0.635775201	11.8998393
FGF4	10.79508912	6.580565359	225.62196	4.46E-11	7.31E-08	1.183020797	11.97810992
ZNF486	12.89578511	4.968772898	220.791835	5.27E-11	7.31E-08	-1.47911966	11.41666546
STC1	-11.82345488	5.483435884	220.6677418	5.29E-11	7.31E-08	11.39516332	-0.428291556
HYAL4	17.01469941	5.397160156	249.1061237	5.40E-11	7.31E-08	-3.11018955	13.90450986
ZNF257	10.87199726	5.656406058	218.9429019	5.63E-11	7.31E-08	0.220407426	11.09240469
SPIC	16.96448641	5.29755274	246.952974	5.75E-11	7.31E-08	-3.184690463	13.77979594
DPPA3P2	10.00530817	6.209168213	217.8018551	5.86E-11	7.31E-08	1.206514127	11.2118223
PTPRZ1	-10.54933806	7.580397404	218.8196248	6.26E-11	7.51E-08	12.85506643	2.305728372
MEG3	15.0369374	7.406387079	255.0393457	7.46E-11	8.62E-08	-0.112081622	14.92485578
GCM1	14.24352456	4.918089835	210.0902239	7.91E-11	8.82E-08	-2.203672445	12.03985211
ZNF677	12.73847939	4.796481912	207.3879734	8.55E-11	9.20E-08	-1.572757782	11.16572161
OCIAD2	-9.243424631	6.896831827	205.7214688	9.10E-11	9.46E-08	11.51854414	2.275119511
KLHL4	-12.57981547	6.10241785	222.2812766	1.08E-10	1.08E-07	12.39232558	-0.187489884
AC011447.3	14.09202989	4.766455632	200.4784623	1.14E-10	1.11E-07	-2.279559314	11.81247058
ALPP	16.5841036	4.907768051	222.791813	1.22E-10	1.14E-07	-3.38428375	13.19981985
BX322639.1	12.5687215	4.801794991	197.5968818	1.24E-10	1.14E-07	-1.48256576	11.08615574
ERVW-1	12.97275659	4.506217946	196.4940691	1.29E-10	1.15E-07	-1.980160351	10.99259624
SOX11	-10.19840239	7.353052417	204.1548571	1.45E-10	1.26E-07	12.45225361	2.253851222
MT1H	9.896153639	8.464436562	196.1482911	1.78E-10	1.50E-07	3.516359742	13.41251338
ZNF680	10.46232892	5.072105691	183.7915969	2.16E-10	1.77E-07	-0.159058771	10.30327015
ZNF682	12.80843479	5.162396556	198.3299977	2.49E-10	1.99E-07	-1.241820841	11.56661395
ZIC2	-9.306248615	5.50424898	177.5033713	2.82E-10	2.15E-07	10.15737329	0.851124672
KLF4	8.336023418	6.699861564	177.4479413	2.82E-10	2.15E-07	2.531849855	10.86787327
THY1	-13.60333576	8.127961882	220.3653408	3.21E-10	2.38E-07	14.92962976	1.326294
ZNF93	10.93053339	5.622417354	187.7243741	3.53E-10	2.56E-07	0.15715066	11.08768405
GPX2	9.915342075	5.801081918	180.3182685	3.61E-10	2.56E-07	0.84341088	10.75875295
FP565260.4	16.11625453	4.406526191	187.9819624	4.20E-10	2.91E-07	-3.651601074	12.46465346
ZNF595	9.77134442	5.041012319	165.4506036	4.80E-10	3.26E-07	0.155340109	9.926684528
CNR2	12.45482097	3.980672377	164.8587954	4.93E-10	3.28E-07	-2.246738106	10.20808286
ATP6V1B1	15.87773378	4.192283276	179.19382	5.93E-10	3.86E-07	-3.746583615	12.13115017
NEFM	-13.19964543	4.652926034	176.1460565	6.41E-10	3.98E-07	11.25274875	-1.946896681
OOEP	9.402288536	5.256871149	161.7696911	6.54E-10	3.98E-07	0.555726881	9.958015417
SERPINB9	8.013857979	9.148322265	158.7341897	6.57E-10	3.98E-07	5.141393276	13.15525125
AC022140.1	-9.658783638	5.553647818	168.794245	6.64E-10	3.98E-07	10.38303964	0.724255999
RND3	-7.50211373	6.783716545	157.0644833	7.11E-10	4.19E-07	10.53477341	3.03265968
ZNF560	13.57160473	4.369222127	165.9321291	7.92E-10	4.47E-07	-2.416580237	11.15502449
ZNF626	11.51181028	3.953797263	154.4727063	8.06E-10	4.47E-07	-1.802107878	9.709702403
SLIT2	-8.154127808	5.420020566	154.4567117	8.07E-10	4.47E-07	9.49708447	1.342956663
ZNF534	8.804351599	6.293973684	164.5581133	8.17E-10	4.47E-07	1.891797885	10.69614948
ZNF229	15.7038588	4.136750496	168.869814	9.09E-10	4.79E-07	-3.715178902	11.9886799
RARRES2	-8.389556391	5.796405753	151.9232358	9.14E-10	4.79E-07	9.991183949	1.601627558
MT1HL1	9.143273748	4.80486014	151.5122666	9.33E-10	4.79E-07	0.233223266	9.376497014
AL117190.1	15.65188712	3.977803478	168.0794405	9.40E-10	4.79E-07	-3.848140082	11.80374704
CA14	-8.213116741	5.195339648	151.1071001	9.52E-10	4.79E-07	9.301898018	1.088781277
HMX2	-10.57717702	4.15685332	150.1798738	9.97E-10	4.92E-07	9.445441832	-1.131735192
CAT	15.63520802	3.950615785	166.387712	1.01E-09	4.92E-07	-3.866988225	11.76821979
CCR8	15.56623733	3.902149981	164.2329916	1.11E-09	5.32E-07	-3.880968684	11.68526865
SUN3	9.519147301	5.798013135	163.5610728	1.15E-09	5.41E-07	1.038439484	10.55758679
PCAT14	7.57798827	7.58409567	146.7337916	1.19E-09	5.41E-07	3.795101535	11.3730898
AC079062.1	15.53088104	3.876566313	162.5835672	1.19E-09	5.41E-07	-3.888874206	11.64200683
ZNF727	11.30667886	3.864775188	146.5563042	1.20E-09	5.41E-07	-1.78856424	9.518114617
ZDHHC22	-15.53228556	3.927969586	160.8452458	1.29E-09	5.66E-07	11.69411237	-3.838173196
MGLL	10.15021625	5.040875673	158.4064227	1.29E-09	5.66E-07	-0.034232453	10.1159838
AXL	-8.545750843	6.604455143	157.1383284	1.35E-09	5.72E-07	10.87733056	2.331579722
ZNF502	11.29972783	3.767509979	144.1895104	1.35E-09	5.72E-07	-1.882353936	9.417373894
AC117402.1	-7.836873122	5.424975033	144.1290034	1.36E-09	5.72E-07	9.343411595	1.506538472
FZD7	-8.508941873	4.89320006	143.4409033	1.41E-09	5.85E-07	9.147670996	0.638729124
GRIA4	-8.113674222	4.997957689	142.7376156	1.46E-09	5.98E-07	9.0547948	0.941120578
ZNF826P	10.84203445	3.967322346	142.056731	1.51E-09	6.12E-07	-1.453694878	9.38833957
ZNF98	8.831063448	4.714579832	141.464267	1.56E-09	6.23E-07	0.299048108	9.130111556
MT1M	11.3884888	5.257565176	164.6448425	1.63E-09	6.43E-07	-0.436679227	10.95180958
DUSP6	-13.8768422	8.581369821	186.7518718	1.69E-09	6.58E-07	15.51979092	1.642948723
AP000547.3	9.341981571	4.774401865	142.9612249	1.80E-09	6.92E-07	0.10341108	9.445392651
SPTSSB	-11.30312577	4.509246578	150.5367056	1.83E-09	6.97E-07	10.16080946	-1.142316307
CTSK	-7.225684175	6.146118528	138.1815565	1.86E-09	6.98E-07	9.758960615	2.53327644
OLR1	15.37584896	3.800602967	152.5020672	1.88E-09	6.98E-07	-3.887321516	11.48852745
ZNF568	8.271851001	4.975880851	137.6031504	1.92E-09	7.03E-07	0.839955351	9.111806352
LUZP4	15.34551552	3.666132213	150.5351298	2.06E-09	7.48E-07	-4.006625545	11.33888997
FAT3	-9.79740432	3.994697829	135.4210467	2.16E-09	7.74E-07	8.893399989	-0.904004331
AL591030.1	-12.89982918	3.479749145	134.9572609	2.21E-09	7.79E-07	9.929663737	-2.970165447
ITGAM	15.28618766	3.645293363	148.9475808	2.22E-09	7.79E-07	-3.997800468	11.28838719
ZNF208	11.09877885	5.469958489	159.4509405	2.28E-09	7.79E-07	-0.079430934	11.01934791
MAEL	12.38512427	5.016369827	161.8389641	2.28E-09	7.79E-07	-1.17619231	11.20893196
PLA2G3	-15.28781115	3.672628777	148.265377	2.30E-09	7.79E-07	11.31653435	-3.9712768
COX7B2	10.8580829	3.602352979	133.9336069	2.34E-09	7.84E-07	-1.826688471	9.03139443
