Gene	vsNaive	vsPrimed	AveExpr	P.Value
VGLL1	6.772207895	6.810716366	0.184583261	4.13E-133
AL139002.1	3.232987535	3.234397026	0.074022569	2.16E-130
GATA3	7.326999692	7.389030005	0.220609766	3.35E-126
LINC00456	3.721745121	3.731639169	0.08984668	9.88E-119
HSD3B1	5.714998132	5.73361456	0.14146192	1.02E-98
P2RY6	4.500492	4.489665277	0.110372391	1.98E-98
ERP27	4.924408235	4.921860305	0.135209317	9.65E-94
BATF	2.545999033	2.545870943	0.055295375	5.96E-93
NR2F2	5.708455536	5.837740255	0.246302064	4.00E-88
MRGPRX1	4.059766299	4.067246374	0.095010368	4.01E-85
LINC00643	5.813071634	5.845919692	0.155937202	3.39E-83
GATA2	7.275534888	7.452566698	0.339663741	2.66E-77
XAGE2	5.244437032	5.30891558	0.179626862	2.92E-76
CD274	3.984456544	3.984685763	0.107628699	3.41E-76
VTCN1	3.510548857	3.51044323	0.076273044	2.49E-75
ADGRG1	4.669698909	4.701426684	0.185924081	8.40E-69
EPAS1	6.006500594	6.109664635	0.353800792	6.56E-66
CLDN4	8.559287499	8.606842945	0.511030633	1.74E-65
AC073174.1	2.539148054	2.574443021	0.086945535	5.27E-65
ODAM	2.059887841	2.063978113	0.048520711	5.79E-64
MUC15	3.637933188	3.646374908	0.086718731	1.81E-62
SAA1	1.219195496	1.219097173	0.026464004	6.17E-62
ALDH3B2	2.428923992	2.418308434	0.052762616	3.02E-61
TINAGL1	4.959527464	4.886210766	0.150575581	8.58E-60
LRP2	7.867038812	8.016414891	0.460094412	9.28E-56
TMPRSS13	3.317986346	3.326571399	0.125886099	1.39E-52
FYB1	5.542133921	5.773499034	0.370795834	1.08E-48
ESRG	-7.417073396	-7.983779324	7.638493246	6.44E-48
RN7SL810P	0.940297071	0.940258464	0.020425438	8.74E-48
AC129926.1	1.301238786	1.306652605	0.033830259	9.11E-44
ISM2	3.519674446	3.572820216	0.139099412	1.56E-43
TDGF1	-7.725931522	-7.428930152	8.252281131	2.66E-43
CCKBR	8.880112235	8.413068918	0.337873068	2.95E-43
LINC01889	1.81023359	1.816600589	0.045004039	3.29E-43
SLC28A3	2.353415828	2.370154775	0.083247317	3.59E-43
GPR32	2.02744355	2.037758713	0.053462919	3.92E-42
KRT19P1	2.99399086	2.966522587	0.321950208	4.71E-42
CCR7	1.755037367	1.762726127	0.044992985	1.50E-41
SP6	3.273394751	3.357490512	0.162800592	1.48E-40
CXADR	-5.131313833	-5.470835314	9.346706467	6.73E-39
PGF	5.107074169	5.048000597	0.328531963	1.56E-38
TRIML1	4.156362529	4.218377554	0.301089829	4.22E-38
ITGB4	2.943186215	2.986175573	0.138851716	4.15E-37
CYP19A1	4.544732329	4.423537307	0.161292097	1.16E-36
LINC00379	1.493225871	1.50223269	0.041382742	4.51E-36
AC015522.1	1.137521855	1.148170645	0.034329865	5.75E-36
CA12	6.561057214	6.26611883	0.199210153	9.11E-36
RASSF6	1.970979508	1.981909435	0.073206002	9.25E-36
