sample	rep	input	scaling_group	ref
H3K27m3_H9_Ni	pooled	IN_H9_Ni	H3K27m3_Naive	hg38
H3K27m3_H9_Ni	1	IN_H9_Ni	H3K27m3_Naive	hg38
H3K27m3_H9_Ni	2	IN_H9_Ni	H3K27m3_Naive	hg38
H3K27m3_H9_Ni	3	IN_H9_Ni	H3K27m3_Naive	hg38
H3K27m3_H9_Ni-EZH2i	pooled	IN_H9_Ni-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Ni-EZH2i	1	IN_H9_Ni-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Ni-EZH2i	2	IN_H9_Ni-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Ni-EZH2i	3	IN_H9_Ni-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Pr	pooled	IN_H9_Pr	H3K27m3_Naive	hg38
H3K27m3_H9_Pr	1	IN_H9_Pr	H3K27m3_Naive	hg38
H3K27m3_H9_Pr	2	IN_H9_Pr	H3K27m3_Naive	hg38
H3K27m3_H9_Pr	3	IN_H9_Pr	H3K27m3_Naive	hg38
H3K27m3_H9_Pr-EZH2i	pooled	IN_H9_Pr-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Pr-EZH2i	1	IN_H9_Pr-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Pr-EZH2i	2	IN_H9_Pr-EZH2i	H3K27m3_Naive	hg38
H3K27m3_H9_Pr-EZH2i	3	IN_H9_Pr-EZH2i	H3K27m3_Naive	hg38
H3K4m3_H9_Ni	pooled	IN_H9_Ni	H3K4m3_Naive	hg38
H3K4m3_H9_Ni	1	IN_H9_Ni	H3K4m3_Naive	hg38
H3K4m3_H9_Ni	2	IN_H9_Ni	H3K4m3_Naive	hg38
H3K4m3_H9_Ni	3	IN_H9_Ni	H3K4m3_Naive	hg38
H3K4m3_H9_Ni-EZH2i	pooled	IN_H9_Ni-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Ni-EZH2i	1	IN_H9_Ni-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Ni-EZH2i	2	IN_H9_Ni-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Ni-EZH2i	3	IN_H9_Ni-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Pr	pooled	IN_H9_Pr	H3K4m3_Naive	hg38
H3K4m3_H9_Pr	1	IN_H9_Pr	H3K4m3_Naive	hg38
H3K4m3_H9_Pr	2	IN_H9_Pr	H3K4m3_Naive	hg38
H3K4m3_H9_Pr	3	IN_H9_Pr	H3K4m3_Naive	hg38
H3K4m3_H9_Pr-EZH2i	pooled	IN_H9_Pr-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Pr-EZH2i	1	IN_H9_Pr-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Pr-EZH2i	2	IN_H9_Pr-EZH2i	H3K4m3_Naive	hg38
H3K4m3_H9_Pr-EZH2i	3	IN_H9_Pr-EZH2i	H3K4m3_Naive	hg38
H2Aub_H9_Ni	pooled	IN_H9_Ni	H2Aub_Naive	hg38
H2Aub_H9_Ni	1	IN_H9_Ni	H2Aub_Naive	hg38
H2Aub_H9_Ni	2	IN_H9_Ni	H2Aub_Naive	hg38
H2Aub_H9_Ni	3	IN_H9_Ni	H2Aub_Naive	hg38
H2Aub_H9_Ni-EZH2i	pooled	IN_H9_Ni-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Ni-EZH2i	1	IN_H9_Ni-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Ni-EZH2i	2	IN_H9_Ni-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Ni-EZH2i	3	IN_H9_Ni-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Pr	pooled	IN_H9_Pr	H2Aub_Naive	hg38
H2Aub_H9_Pr	1	IN_H9_Pr	H2Aub_Naive	hg38
H2Aub_H9_Pr	2	IN_H9_Pr	H2Aub_Naive	hg38
H2Aub_H9_Pr	3	IN_H9_Pr	H2Aub_Naive	hg38
H2Aub_H9_Pr-EZH2i	pooled	IN_H9_Pr-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Pr-EZH2i	1	IN_H9_Pr-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Pr-EZH2i	2	IN_H9_Pr-EZH2i	H2Aub_Naive	hg38
H2Aub_H9_Pr-EZH2i	3	IN_H9_Pr-EZH2i	H2Aub_Naive	hg38
H3_H9_Ni	pooled	IN_H9_Ni	H3_Naive	hg38
H3_H9_Ni	1	IN_H9_Ni	H3_Naive	hg38
