library	reference	raw_mapped	dedup_mapped	final_mapped	library_size	percent_duplication	insert_size	input	ip	treatment	celltype	replicate
H2Aub_H9_Ni_pooled	hg38	27056921	26769550	26726957	NA	0.012206	176	IN_H9_Ni_pooled	H2Aub	Untreated	Naive	pooled
H2Aub_H9_Ni_rep1	hg38	9638850	9535068	9520131	NA	0.01212	177	IN_H9_Ni_rep1	H2Aub	Untreated	Naive	1
H2Aub_H9_Ni_rep2	hg38	5740698	5677163	5668347	NA	0.012237	176	IN_H9_Ni_rep2	H2Aub	Untreated	Naive	2
H2Aub_H9_Ni_rep3	hg38	11677373	11558413	11539541	NA	0.012154	173	IN_H9_Ni_rep3	H2Aub	Untreated	Naive	3
H2Aub_H9_Ni-EZH2i_pooled	hg38	16063258	15880857	15857866	NA	0.012547	173	IN_H9_Ni-EZH2i_pooled	H2Aub	EZH2i	Naive	pooled
H2Aub_H9_Ni-EZH2i_rep1	hg38	5736435	5669619	5661638	NA	0.012715	173	IN_H9_Ni-EZH2i_rep1	H2Aub	EZH2i	Naive	1
H2Aub_H9_Ni-EZH2i_rep2	hg38	2700168	2670514	2666418	NA	0.011982	172	IN_H9_Ni-EZH2i_rep2	H2Aub	EZH2i	Naive	2
H2Aub_H9_Ni-EZH2i_rep3	hg38	7626655	7541214	7530283	NA	0.012548	172	IN_H9_Ni-EZH2i_rep3	H2Aub	EZH2i	Naive	3
H2Aub_H9_Pr_pooled	hg38	23886708	23635752	23596920	NA	0.012175	178	IN_H9_Pr_pooled	H2Aub	Untreated	Primed	pooled
H2Aub_H9_Pr_rep1	hg38	6781815	6713924	6702444	NA	0.01155	180	IN_H9_Pr_rep1	H2Aub	Untreated	Primed	1
H2Aub_H9_Pr_rep2	hg38	9234850	9136563	9122417	NA	0.012409	179	IN_H9_Pr_rep2	H2Aub	Untreated	Primed	2
H2Aub_H9_Pr_rep3	hg38	7870043	7786656	7773414	NA	0.012235	173	IN_H9_Pr_rep3	H2Aub	Untreated	Primed	3
H2Aub_H9_Pr-EZH2i_pooled	hg38	5789203	5724167	5715272	NA	0.012368	180	IN_H9_Pr-EZH2i_pooled	H2Aub	EZH2i	Primed	pooled
H2Aub_H9_Pr-EZH2i_rep1	hg38	1980286	1958148	1955164	NA	0.012222	180	IN_H9_Pr-EZH2i_rep1	H2Aub	EZH2i	Primed	1
H2Aub_H9_Pr-EZH2i_rep2	hg38	1893106	1872943	1869959	NA	0.012098	175	IN_H9_Pr-EZH2i_rep2	H2Aub	EZH2i	Primed	2
H2Aub_H9_Pr-EZH2i_rep3	hg38	1915811	1893150	1890223	NA	0.012722	186	IN_H9_Pr-EZH2i_rep3	H2Aub	EZH2i	Primed	3
H3_H9_Ni_pooled	hg38	22439599	22192359	22130763	NA	0.012861	189	IN_H9_Ni_pooled	H3	Untreated	Naive	pooled
H3_H9_Ni_rep1	hg38	8047494	7958217	7937199	NA	0.012636	194	IN_H9_Ni_rep1	H3	Untreated	Naive	1
H3_H9_Ni_rep2	hg38	5319604	5257728	5243593	NA	0.013094	188	IN_H9_Ni_rep2	H3	Untreated	Naive	2
H3_H9_Ni_rep3	hg38	9072501	8977279	8950648	NA	0.012802	183	IN_H9_Ni_rep3	H3	Untreated	Naive	3
H3_H9_Ni-EZH2i_pooled	hg38	8332049	8234588	8212304	NA	0.013056	177	IN_H9_Ni-EZH2i_pooled	H3	EZH2i	Naive	pooled
H3_H9_Ni-EZH2i_rep1	hg38	3172095	3133819	3125405	NA	0.013234	178	IN_H9_Ni-EZH2i_rep1	H3	EZH2i	Naive	1
H3_H9_Ni-EZH2i_rep2	hg38	1329453	1313999	1310267	NA	0.012879	175	IN_H9_Ni-EZH2i_rep2	H3	EZH2i	Naive	2
H3_H9_Ni-EZH2i_rep3	hg38	3830501	3786915	3776749	NA	0.012921	178	IN_H9_Ni-EZH2i_rep3	H3	EZH2i	Naive	3
H3_H9_Pr_pooled	hg38	20168753	19952985	19889240	NA	0.012481	195	IN_H9_Pr_pooled	H3	Untreated	Primed	pooled
H3_H9_Pr_rep1	hg38	5316323	5260176	5243878	NA	0.012183	207	IN_H9_Pr_rep1	H3	Untreated	Primed	1
H3_H9_Pr_rep2	hg38	8336255	8247841	8222110	NA	0.012473	198	IN_H9_Pr_rep2	H3	Untreated	Primed	2
H3_H9_Pr_rep3	hg38	6516175	6446477	6424348	NA	0.012458	183	IN_H9_Pr_rep3	H3	Untreated	Primed	3
