sample	replicate	color	color_cond	linetype	label	library	bw
IN_H9_Ni	1	"#555555"	"#555555"	dotted	Input_Naive_R1	IN_H9_Ni_rep1	IN_H9_Ni_rep1.hg38.unscaled.bw
IN_H9_Ni	2	"#555555"	"#555555"	dashed	Input_Naive_R2	IN_H9_Ni_rep2	IN_H9_Ni_rep2.hg38.unscaled.bw
IN_H9_Ni	3	"#555555"	"#555555"	longdash	Input_Naive_R3	IN_H9_Ni_rep3	IN_H9_Ni_rep3.hg38.unscaled.bw
IN_H9_Ni	pooled	"#555555"	"#555555"	solid	Input_Naive	IN_H9_Ni_pooled	IN_H9_Ni_pooled.hg38.unscaled.bw
IN_H9_Ni-EZH2i	1	"#dddddd"	"#dddddd"	dotted	Input_Naive_EZH2i_R1	IN_H9_Ni-EZH2i_rep1	IN_H9_Ni-EZH2i_rep1.hg38.unscaled.bw
IN_H9_Ni-EZH2i	2	"#dddddd"	"#dddddd"	dashed	Input_Naive_EZH2i_R2	IN_H9_Ni-EZH2i_rep2	IN_H9_Ni-EZH2i_rep2.hg38.unscaled.bw
IN_H9_Ni-EZH2i	3	"#dddddd"	"#dddddd"	longdash	Input_Naive_EZH2i_R3	IN_H9_Ni-EZH2i_rep3	IN_H9_Ni-EZH2i_rep3.hg38.unscaled.bw
IN_H9_Ni-EZH2i	pooled	"#dddddd"	"#dddddd"	solid	Input_Naive_EZH2i	IN_H9_Ni-EZH2i_pooled	IN_H9_Ni-EZH2i_pooled.hg38.unscaled.bw
IN_H9_Pr	1	"#888888"	"#888888"	dotted	Input_Primed_R1	IN_H9_Pr_rep1	IN_H9_Pr_rep1.hg38.unscaled.bw
IN_H9_Pr	2	"#888888"	"#888888"	dashed	Input_Primed_R2	IN_H9_Pr_rep2	IN_H9_Pr_rep2.hg38.unscaled.bw
IN_H9_Pr	3	"#888888"	"#888888"	longdash	Input_Primed_R3	IN_H9_Pr_rep3	IN_H9_Pr_rep3.hg38.unscaled.bw
IN_H9_Pr	pooled	"#888888"	"#888888"	solid	Input_Primed	IN_H9_Pr_pooled	IN_H9_Pr_pooled.hg38.unscaled.bw
IN_H9_Pr-EZH2i	1	"#eeeeee"	"#eeeeee"	dotted	Input_Primed_EZH2i_R1	IN_H9_Pr-EZH2i_rep1	IN_H9_Pr-EZH2i_rep1.hg38.unscaled.bw
IN_H9_Pr-EZH2i	2	"#eeeeee"	"#eeeeee"	dashed	Input_Primed_EZH2i_R2	IN_H9_Pr-EZH2i_rep2	IN_H9_Pr-EZH2i_rep2.hg38.unscaled.bw
IN_H9_Pr-EZH2i	3	"#eeeeee"	"#eeeeee"	longdash	Input_Primed_EZH2i_R3	IN_H9_Pr-EZH2i_rep3	IN_H9_Pr-EZH2i_rep3.hg38.unscaled.bw
IN_H9_Pr-EZH2i	pooled	"#eeeeee"	"#eeeeee"	solid	Input_Primed_EZH2i	IN_H9_Pr-EZH2i_pooled	IN_H9_Pr-EZH2i_pooled.hg38.unscaled.bw
H3K27m3_H9_Ni	1	"#092ba8"	"#278b8b"	dotted	H3K27m3_Naive_R1	H3K27m3_H9_Ni_rep1	H3K27m3_H9_Ni_rep1.hg38.scaled.bw
H3K27m3_H9_Ni	2	"#092ba8"	"#278b8b"	dashed	H3K27m3_Naive_R2	H3K27m3_H9_Ni_rep2	H3K27m3_H9_Ni_rep2.hg38.scaled.bw
H3K27m3_H9_Ni	3	"#092ba8"	"#278b8b"	longdash	H3K27m3_Naive_R3	H3K27m3_H9_Ni_rep3	H3K27m3_H9_Ni_rep3.hg38.scaled.bw
H3K27m3_H9_Ni	pooled	"#092ba8"	"#278b8b"	solid	H3K27m3_Naive	H3K27m3_H9_Ni_pooled	H3K27m3_H9_Ni_pooled.hg38.scaled.bw
H3K27m3_H9_Ni-EZH2i	1	"#3e5aa8"	"#5F9EA0"	dotted	H3K27m3_Naive_EZH2i_R1	H3K27m3_H9_Ni-EZH2i_rep1	H3K27m3_H9_Ni-EZH2i_rep1.hg38.scaled.bw
H3K27m3_H9_Ni-EZH2i	2	"#3e5aa8"	"#5F9EA0"	dashed	H3K27m3_Naive_EZH2i_R2	H3K27m3_H9_Ni-EZH2i_rep2	H3K27m3_H9_Ni-EZH2i_rep2.hg38.scaled.bw
H3K27m3_H9_Ni-EZH2i	3	"#3e5aa8"	"#5F9EA0"	longdash	H3K27m3_Naive_EZH2i_R3	H3K27m3_H9_Ni-EZH2i_rep3	H3K27m3_H9_Ni-EZH2i_rep3.hg38.scaled.bw
H3K27m3_H9_Ni-EZH2i	pooled	"#3e5aa8"	"#5F9EA0"	solid	H3K27m3_Naive_EZH2i	H3K27m3_H9_Ni-EZH2i_pooled	H3K27m3_H9_Ni-EZH2i_pooled.hg38.scaled.bw
H3K27m3_H9_Pr	1	"#006bdd"	"#f44b34"	dotted	H3K27m3_Primed_R1	H3K27m3_H9_Pr_rep1	H3K27m3_H9_Pr_rep1.hg38.scaled.bw
