gene	seqnames	start	end	gata2	gata3	tfap2a	tfap2c	logFC	adj.P.Val
A1BG-AS1	chr19	58858335	58866835	0	0	0	0	0.520103295	0.000382465
A2M	chr12	9265058	9273558	0	0	0	0	2.314333038	0.000381787
AAAS	chr12	53711912	53720412	0	0	1	0	-0.372549226	0.000194538
AACS	chr12	125544924	125553424	0	0	0	0	-1.612628956	1.02E-16
AACSP1	chr5	178199777	178208277	0	0	0	0	-3.211803048	0.000107654
AADACL3	chr1	12771117	12779617	1	1	1	1	3.766378456	3.21E-06
AAED1	chr9	99414099	99422599	0	0	0	1	0.471030979	0.000509424
AAGAB	chr15	67543574	67552074	0	0	0	0	-0.515009918	5.18E-08
AAGAB	chr15	67544036	67552536	0	0	0	0	-0.515009918	5.18E-08
AAK1	chr2	69867477	69875977	0	1	0	0	1.471330719	1.54E-12
AAMDC	chr11	77527207	77535707	0	0	1	1	0.567355762	0.001150912
AAR2	chr20	34819338	34827838	0	0	0	0	-0.253949227	0.000488141
AARD	chr8	117945463	117953963	0	0	0	0	-3.480396337	7.06E-10
AARS	chr16	70319912	70328412	0	0	0	0	-1.252728446	9.20E-11
AARS2	chr6	44277563	44286063	0	0	1	1	-0.33877221	0.001030648
AARSD1	chr17	41113015	41121515	0	0	1	0	-0.988302368	9.52E-12
AASDH	chr4	57250174	57258674	0	0	0	0	-0.327751737	0.002159183
AASDHPPT	chr11	105943291	105951791	0	0	0	0	-0.467000014	5.70E-07
AASS	chr7	121780844	121789344	0	0	0	0	-2.622869724	2.54E-21
AATF	chr17	35301174	35309674	0	0	0	0	-0.711335113	4.71E-10
AATK	chr17	79136372	79144872	0	0	0	0	-0.503133748	0.031196489
AATK	chr17	79102248	79110748	0	0	0	0	-0.503133748	0.031196489
ABAT	chr16	8763443	8771943	0	0	0	0	-0.629688386	6.24E-05
ABAT	chr16	8809572	8818072	0	0	0	0	-0.629688386	6.24E-05
ABAT	chr16	8801825	8810325	0	0	0	0	-0.629688386	6.24E-05
ABCA1	chr9	107687027	107695527	0	0	0	0	1.582158389	2.86E-08
ABCA11P	chr4	464498	472998	0	0	1	0	-0.865645241	1.76E-07
ABCA13	chr7	48206056	48214556	0	0	0	0	-1.992112529	0.04549142
ABCA2	chr9	139919874	139928374	0	0	0	0	-1.857863112	5.39E-12
ABCA2	chr9	139919240	139927740	0	0	0	0	-1.857863112	5.39E-12
ABCA3	chr16	2387247	2395747	0	0	0	0	-1.556728558	8.70E-12
ABCA4	chr1	94583205	94591705	1	1	1	1	5.845784938	6.07E-10
ABCA5	chr17	67308274	67316774	0	0	0	0	1.517152768	3.11E-08
ABCA5	chr17	67319823	67328323	0	0	0	0	1.517152768	3.11E-08
ABCA7	chr19	1035101	1043601	0	0	0	0	0.436115868	0.002510691
ABCB1	chr7	87339139	87347639	0	0	0	0	2.493913623	9.87E-10
ABCB10	chr1	229690942	229699442	0	1	0	0	0.533619036	4.85E-07
ABCB4	chr7	87101519	87110019	0	0	0	0	5.309541904	4.19E-12
ABCB6	chr2	220080212	220088712	0	0	1	0	-1.084570128	2.48E-11
ABCB8	chr7	150720508	150729008	0	1	1	1	0.404762368	0.000352268
ABCB9	chr12	123447556	123456056	0	0	0	0	-1.268550319	2.39E-09
ABCC1	chr16	16038433	16046933	0	0	0	0	-0.806682575	9.48E-08
ABCC10	chr6	43390291	43398791	0	0	0	0	0.437636579	0.000407153
ABCC10	chr6	43394488	43402988	0	0	0	0	0.437636579	0.000407153
ABCC4	chr13	95950187	95958687	0	1	1	1	-1.590012558	1.11E-13
ABCC5	chr3	183732227	183740727	0	0	1	0	-0.387522601	2.57E-07
ABCC6	chr16	16313828	16322328	0	0	0	0	1.272592632	5.76E-06
ABCC6P1	chr16	18577569	18586069	0	0	0	0	1.423184214	0.017765938
ABCC8	chr11	17494949	17503449	0	0	0	0	-1.870095651	1.17E-05
ABCD1	chrX	152985322	152993822	0	0	1	0	0.94901669	1.59E-06
ABCD3	chr1	94878932	94887432	0	0	0	0	0.777251453	4.27E-09
ABCE1	chr4	146014155	146022655	0	0	0	0	-1.572857434	1.41E-16
ABCF1	chr6	30534169	30542669	0	0	0	0	-0.851901136	2.00E-10
ABCF2	chr7	150920960	150929460	0	0	0	0	-0.710192521	9.03E-12
ABCG1	chr21	43631186	43639686	0	0	0	0	1.085138226	0.000161745
ABCG1	chr21	43614921	43623421	0	0	0	0	1.085138226	0.000161745
ABCG1	chr21	43635007	43643507	0	0	0	0	1.085138226	0.000161745
ABCG1	chr21	43634266	43642766	0	0	0	0	1.085138226	0.000161745
ABCG1	chr21	43614798	43623298	0	0	0	0	1.085138226	0.000161745
ABCG2	chr4	89148974	89157474	0	0	0	0	5.564437063	1.40E-18
ABCG2	chr4	89076511	89085011	0	1	1	1	5.564437063	1.40E-18
ABCG4	chr11	119015298	119023798	0	0	0	0	-4.290721948	2.03E-05
ABCG4	chr11	119014749	119023249	0	0	0	0	-4.290721948	2.03E-05
